Date,Company,Category,Victim website,Victim country,Attacker name,Ransom demand,Exfiltrated data amount,Exfiltrated data type:,Leaked data:,Ransom deadline:,Generalize,,,,,,,,,,,,,,
07-01-2023,SWIFT ACADEMIES,School,swiftacademies.org.uk,UNITED KINGDOM,Vice Society,N/A,N/A,Miscellaneous documents,Sample with files tree,N/A,Education,,,,,,,,,,,,,,
07-01-2023,TAKAMIYA,Business,takamiya.co,Japan,LockBit3.0,N/A,N/A,N/A,All the exfiltrated data,21st Jan 23,Service,,,,,,,,,,,,,,
08-01-2023,FRUTTAGEL,Food manufacturing,fruttagel.it,Italy,BlackCat,N/A,755 GB,"Financial and corporate documents, customer data from bank cards",Screenshots with sample of miscellaneous and PII documents,N/A,Service,,,,,,,,,,,,,,
08-01-2023,KOO WEE RUP SECONDARY COLLEGE,School,kwrsc.vic.edu.au,Australia,BlackCat,N/A,105 GB,"school private info (security cameras records, budgets, plans, evaluations,",/,N/A,Education,,,,,,,,,,,,,,
08-01-2023,MILLENNIA,Engineering,millennia.pro,US,LockBit3.0,"$ 300,000",22.44 GB,N/A,All the exfiltrated data,10th Feb 23,Service,,,,,,,,,,,,,,
08-01-2023,ASIAN REINSURANCE CORPORATION,Insurance,asianrecorp.com,Thailand,LockBit3.0,"$ 30,000",N/A,N/A,All the exfiltrated data,29th Jan 23,Insurance,,,,,,,,,,,,,,
08-01-2023,ORDER EXPRESS,Financial Services,orderexpress.com.mx,Mexico,Cl0p,N/A,N/A,"Information about many people, business process and practice",Sample with screenshots of PII documents,19th Sep 23,Service,,,,,,,,,,,,,,
08-01-2023,LOESCH,Wholesale,loeschgroup.de,Germany,Cl0p,N/A,N/A,Miscellaneous documents,All the exfiltrated data,N/A,Service,,,,,,,,,,,,,,
08-01-2023,SOFTEQ,IT/Technology,softeq.com,USA,Cl0p,N/A,N/A,Miscellaneous documents,All the exfiltrated data,N/A,IT,,,,,,,,,,,,,,
09-01-2023,AVIACODE,Medical,aviacode.com,USA,0mega,N/A,235 GB,Miscellaneous documents,All the exfiltrated data,Expired,Medical,,,,,,,,,,,,,,
09-01-2023,RIVER CITY SCIENCE ACADEMY,Education,rivercityscience.org,USA,Karakurt,N/A,63 GB,"financials, executive and accounting information as well as a great amount of",All the exfiltrated data,N/A,Service,,,,,,,,,,,,,,
10-01-2023,DATAIR,Software and finance,datair.com,USA,LockBit3.0,$ 250000,N/A,N/A,/,15th Jan 23,IT,,,,,,,,,,,,,,
10-01-2023,CHESTERTONS INC.,Real estate,chestertons.co.uk,United Kingdom,Lorenz,N/A,N/A,Miscellaneous documents,All the exfiltrated data,Expired,Service,,,,,,,,,,,,,,
10-01-2023,SHELCO,Construction,shelcollc.com,USA,Lorenz,N/A,N/A,Miscellaneous documents,95% of the total exfiltrated data,N/A,Service,,,,,,,,,,,,,,
10-01-2023,THOR SPECIALTIES,Chemical Manufacturing,thorsp.com,USA,Lorenz,N/A,N/A,Miscellaneous documents,80% of the total exfiltrated data,N/A,Manufacture,,,,,,,,,,,,,,
11-01-2023,CIRCLEVILLE MUNICIPAL COURT,Law,circlevillecourt.com,USA,LockBit3.0,"$ 199,000",500 GB,Customer data. Nanny criminals. Case information. And much more.,All the exfiltrated data,Expired,Law,,,,,,,,,,,,,,
11-01-2023,TIME TECHNOPLAST LIMITED,Packaging and Containers Manufacturing,timetechnoplast.com,India,BlackCat,N/A,150 GB,Financial documents and reports ? Analytical and strategic documents ?,Sample with screenshots of miscellaneous documents,N/A,Manufacture,,,,,,,,,,,,,,
11-01-2023,G.W. BECKER,Machinery Manufacturing,gwbcrane.com,USA,Hive,N/A,N/A,N/A,All the exfiltrated data,N/A,Manufacture,,,,,,,,,,,,,,
11-01-2023,ADIVA CO.,Automobile Manufacturing,adiva-tw.com,Taiwan,Mallox,N/A,800 MB,N/A,All the exfiltrated data,N/A,Manufacture,,,,,,,,,,,,,,
12-01-2023,AIR COMM CORPORATION,Aviation and Aerospace Component Manufacturing,aircommcorp.com,USA,BlackCat,N/A,1 TB,"Personal data, databases, manufacturing and clients? documents, also we have",/,19th Jan 23,Manufacture,,,,,,,,,,,,,,
12-01-2023,IMI HYDRONIC ENGINEERING,Wholesale Building Materials,imi-hydronic.com,Switzerland,RansomHouse,N/A,"1,5 TB",Confidential or research data,Sample with evidence packs,N/A,Service,,,,,,,,,,,,,,
12-01-2023,RUSSELL FINEX,Mechanical Or Industrial Engineering,russellfinex.com,United Kingdom,LockBit3.0,$ 250000,"4,09 GB",Miscellaneous documents,Sample with screenshots of miscellaneous documents,26th Jan 23,Service,,,,,,,,,,,,,,
12-01-2023,M?LLER GARTENBAU & PLANUNG AG,Plantation,muellergartenbau.ch,Switzerland,LockBit3.0,$ 100000,N/A,N/A,Sample with screenshots of miscellaneous documents,27th Jan 23,Service,,,,,,,,,,,,,,
12-01-2023,LIDESTRI,Food and Beverage,lidestrifoodanddrink.com,USA,LockBit3.0,$ 400000,N/A,N/A,Sample with screenshots of miscellaneous documents,26th Jan 23,Service,,,,,,,,,,,,,,
12-01-2023,VERSTEDEN,Search Engines & PortalsBusiness,versteden.com,Netherlands,LockBit3.0,$ 200000,"22,28 GB",Miscellaneous documents,All the exfiltrated data,26th Jan 23,Service,,,,,,,,,,,,,,
12-01-2023,PHYSICIAN PARTNERS OF AMERICA,Medical,physicianpartnersofamerica.com,USA,Snatch,N/A,N/A,N/A,Sample with screenshots of PHI documents,N/A,Medical,,,,,,,,,,,,,,
12-01-2023,NUXE,Fashion & Beauty,nuxe.com,France,LockBit3.0,N/A,N/A,N/A,All the exfiltrated data,28th Jan 23,Service,,,,,,,,,,,,,,
12-01-2023,LLOYD DOWSON,Finance,lloyddowson.co.uk,United Kingdom,LockBit3.0,N/A,N/A,N/A,/,N/A,Bank,,,,,,,,,,,,,,
13-01-2023,FU YU CORPORATION,Public Sector,fuyucorp.com,Singapore,BlackCat,N/A,386 GB,Miscellaneous documents,All the exfiltrated data,Expired,Public Sector,,,,,,,,,,,,,,
13-01-2023,LIEBRA PERMANA,Apparel & Fashion,liebrapermana.com,Indonesia,BlackCat,N/A,820 GB,"Financial documents and reports, analytical and strategic documents,",Sample with screenshots of miscellaneous and PII documents,N/A,Service,,,,,,,,,,,,,,
13-01-2023,TRANS MALDIVIAN AIRWAYS,Airlines and Aviation,transmaldivian.com,Maldives,RansomHouse,$ 250000,350 GB,Confidential data,Sample with evidence packs,N/A,Aviation,,,,,,,,,,,,,,
13-01-2023,FUJIKURA-ELECTRONICS.CO.TH,"Electrical, and Electronics Manufacturing",fujikura-electronics.co.th,Thailand,LockBit3.0,"$ 130,000","33,24 GB",N/A,Sample with screenshots of several folders,07th Jan 23,Manufacture,,,,,,,,,,,,,,
13-01-2023,T A SUPPLY,Building Materials Manufacturing,tasupply.com,USA,Play,N/A,N/A,N/A,Sample with internal documents,N/A,Manufacture,,,,,,,,,,,,,,
13-01-2023,CHINERY AND DOUGLAS,Law,lvcdlaw.com,USA,Play,N/A,N/A,N/A,Sample with working documents,N/A,Law,,,,,,,,,,,,,,
13-01-2023,RUHRPUMPEN,Industrial Machinery Manufacturing,ruhrpumpen.com,Germany,Play,N/A,N/A,N/A,"Sample with passports, finance, internal documents",N/A,Manufacture,,,,,,,,,,,,,,
14-01-2023,SAMUELS AND SON SEAFOOD,Food,samuelsseafood.com,USA,Royal,N/A,230 GB,Miscellaneous documents,100% of the exfiltrated data,N/A,Service,,,,,,,,,,,,,,
14-01-2023,HOLOVIS,Entertainment,holovis.com,United Kingdom,RansomHouse,N/A,150 GB,Confidential data,Sample with evidence packs,N/A,Service,,,,,,,,,,,,,,
14-01-2023,CENTRAL TEXAS COLLEGE,College,ctcd.edu,USA,Vice Society,N/A,N/A,Miscellaneous documents,Sample with files tree and several,N/A,Education,,,,,,,,,,,,,,
14-01-2023,TIMCO,Product,timco.co.uk,United Kingdom,Vice Society,N/A,N/A,Miscellaneous documents,Sample with files tree and several,N/A,Service,,,,,,,,,,,,,,
14-01-2023,K2 SPORTS,Sports business,k2sports.com,USA,BlackByte,N/A,N/A,N/A,/,N/A,Service,,,,,,,,,,,,,,
15-01-2023,DAYTON PROGRESS,Business,daytonprogress.de,United Kingdom,Play,N/A,67 GB,"Private and personal confidential data, customer documents, stampings schemes,",100% of the exfiltrated data,N/A,Service,,,,,,,,,,,,,,
15-01-2023,HILLS SALVAGE AND RECYCLING,Motor Vehicle Manufacturing,hills-motors.co.uk,United Kingdom,Royal,N/A,"5,1 GB",Miscellaneous documents,100% of the exfiltrated data,N/A,Manufacture,,,,,,,,,,,,,,
15-01-2023,MATRIX GLOBAL SCHOOLS,Schools,matrixschools.edu.my,Malaysia,LockBit3.0,N/A,N/A,Miscellaneous documents,100% of the exfiltrated data,03rd Feb 23,Education,,,,,,,,,,,,,,
15-01-2023,EL SEIF DEVELOPMENT,Engineering and construction,elseif.com.sa,Saudi Arabia,Mallox,N/A,18 GB,Miscellaneous documents,100% of the exfiltrated data,N/A,Service,,,,,,,,,,,,,,
16-01-2023,ARNOLD CLARK,Transportation,arnoldclark.com,United Kingdom,Play,N/A,467 GB,"Private and personal data, passports, IDs, confidential contracts, agreements,",10% of the exfiltrated data,N/A,Service,,,,,,,,,,,,,,
16-01-2023,ARC,Printing service,e-arc.com,USA,BlackByte,"$ 350,000",N/A,Miscellaneous documents,Sample with screenshots of miscellaneous and PII documents,N/A,Service,,,,,,,,,,,,,,
16-01-2023,AL ABDUL KARIM & CO,Retail,ak.com.sa,Saudi Arabia,LockBit3.0,N/A,2 GB,Miscellaneous documents,100% of the exfiltrated data,02nd Feb 23,Service,,,,,,,,,,,,,,
16-01-2023,ATCUAE,Truck transportation,atcuae.ae,UAE,LockBit3.0,N/A,1 GB,"Miscellaneous, including financial documents",100% of the exfiltrated data,04th Feb 23,Logistics,,,,,,,,,,,,,,
16-01-2023,FULFILMENT MATTERS,"Transportation, Logistics, Supply Chain and Storage",fulfilmentmatters.co.uk,United Kingdom,LockBit3.0,N/A,5 GB,N/A,100% of the exfiltrated data,30th Jan 23,Logistics,,,,,,,,,,,,,,
16-01-2023,MELODY SHIPPING AGENCIES,Maritime,melody.com.tr,Turkey,LockBit3.0,N/A,N/A,Miscellaneous documents,Sample with files tree and several downloadable folders,03rd Feb 23,Service,,,,,,,,,,,,,,
16-01-2023,R C STEVENS CONSTRUCTION,Construction,rcstevens.com,USA,Hive,N/A,N/A,N/A,100% of the exfiltrated data,N/A,Service,,,,,,,,,,,,,,
17-01-2023,AUTODELTA,Automotive,autodelta.pt,Portugal,Royal,N/A,200 GB,Miscellaneous documents,20% of the exfiltrated data,N/A,Service,,,,,,,,,,,,,,
17-01-2023,POLITRIZ,Chemical Manufacturing,politriz.ind.br,Brazil,LockBit3.0,N/A,N/A,N/A,100% of the exfiltrated data,N/A,Manufacture,,,,,,,,,,,,,,
17-01-2023,YAYLA ENERJI URETIM TURIZM VE INSAAT TICARET (YAYLA),Energy,yayla.tc,Turkey,Mallox,N/A,"43,6 MB",Miscellaneous documents,Sample with a downloadable folder,N/A,Service,,,,,,,,,,,,,,
17-01-2023,CARINYA CHRISTIAN SCHOOL,School,carinya.nsw.edu.au,Australia,Royal,N/A,N/A,N/A,10% of the exfiltrated data,N/A,Education,,,,,,,,,,,,,,
17-01-2023,WESTS?CHSISCHE HOCHSCHULE ZWICKAU,University,fh-zwickau.de,Germany,Royal,N/A,N/A,N/A,/,N/A,Education,,,,,,,,,,,,,,
18-01-2023,LIVINGSTON,Business,livingstonintl.com,Canada,Royal,N/A,N/A,Miscellaneous documents,"Sample with employee documents, finance, network structure",N/A,Service,,,,,,,,,,,,,,
18-01-2023,ALHAMBRA-EIDOS,IT/Technology,alhambra-eidos.com,Spain,Mallox,N/A,"3,01 GB",N/A,Sample with a downloadable folder,N/A,IT,,,,,,,,,,,,,,
19-01-2023,PAYROLL2U,Human Resources Services,payroll2u.com,,LockBit3.0,$ 90000 USD,500 gb,,Contracts and source code samples,,Service,,,,,,,,,,,,,,
19-01-2023,DUOMED GROUP,Medical Equipment Manufacturing,duomed.com,,LockBit3.0,$ 200000 USD,N/A,,/,,Manufacture,,,,,,,,,,,,,,
19-01-2023,FRESH DEL MONTE,Food and Beverage Services,freshdelmonte.com,,BlackCat,N/A,N/A,,Screenshots of PII available,,Service,,,,,,,,,,,,,,
19-01-2023,NEXTGEN,Medical,/,,BlackCat,N/A,N/A,,Screenshots of PII available,,Medical,,,,,,,,,,,,,,
19-01-2023,PHARMACARE,Pharma,/,,BlackCat,N/A,N/A,,Screenshots of PII available,,Pharma,,,,,,,,,,,,,,
19-01-2023,K AZAROSIAN COSTELLO,Law,Kazcolaw.com,,Royal,N/A,N/A,,/,,Law,,,,,,,,,,,,,,
20-01-2023,MONMOUTH COLLEGE,College,monmouthcollege.edu,,Vice Society,N/A,N/A,,/,,Education,,,,,,,,,,,,,,
20-01-2023,UNIVERSITY OF DUISBURG-ESSEN,University,uni-due.de,,Vice Society,N/A,N/A,,/,,Education,,,,,,,,,,,,,,
20-01-2023,TON VAN KUYK,Motor Vehicle Manufacturing,tvk.nl,,LockBit3.0,N/A,N/A,,/,,Manufacture,,,,,,,,,,,,,,
21-01-2023,IBB BUSINESS TEAM,Financial Services,ibb-business-team.de,,LockBit3.0,N/A,240 gb,,Screenshots of PII available,,Service,,,,,,,,,,,,,,
21-01-2023,MIGUEL MECHANICAL SERVICES LIMITED,Oil and Gas,miguelmechanical.com,,LockBit3.0,N/A,N/A,,Sample of stolen data,,Oil and Gas,,,,,,,,,,,,,,
21-01-2023,CLOUDCALL,IT/Technology,cloudcall.com.au,,Vice Society,N/A,N/A,,Sample of stolen data,,IT,,,,,,,,,,,,,,
21-01-2023,EMONEY HOME LOANS,Financial Services,emoneyhomeloans.com.au,,Vice Society,N/A,N/A,,Sample of stolen data,,Service,,,,,,,,,,,,,,
21-01-2023,CADEMET,Business,cadmet.com,,Royal,N/A,N/A,,/,,Service,,,,,,,,,,,,,,
21-01-2023,PILLAR RESOURCE SERVICES,Construction,pillar.ca,,Royal,N/A,N/A,,/,,Service,,,,,,,,,,,,,,
22-01-2023,IBB BUSINESS TEAM,Financial Services,ibb-business-team.de,,LockBit3.0,N/A,240 gb,,Screenshots of PII available,,Bank,,,,,,,,,,,,,,
22-01-2023,MIGUEL MECHANICAL SERVICES LIMITED,Oil and Gas,miguelmechanical.com,,LockBit3.0,N/A,N/A,,Sample of stolen data,,Oil and Gas,,,,,,,,,,,,,,
22-01-2023,CLOUDCALL,IT/Technology,cloudcall.com.au,,Vice Society,N/A,N/A,,Sample of stolen data,,IT,,,,,,,,,,,,,,
22-01-2023,EMONEY HOME LOANS,Financial Services,emoneyhomeloans.com.au,,Vice Society,N/A,N/A,,Sample of stolen data,,Service,,,,,,,,,,,,,,
22-01-2023,CADEMET,Business,cadmet.com,,Royal,N/A,N/A,,/,,Service,,,,,,,,,,,,,,
22-01-2023,PILLAR RESOURCE SERVICES,Construction,pillar.ca,,Royal,N/A,N/A,,/,,Service,,,,,,,,,,,,,,
23-01-2023,IBB BUSINESS TEAM,Financial Services,ibb-business-team.de,,LockBit3.0,N/A,240 gb,,Screenshots of PII available,,Service,,,,,,,,,,,,,,
23-01-2023,MIGUEL MECHANICAL SERVICES LIMITED,Oil and Gas,miguelmechanical.com,,LockBit3.0,N/A,N/A,,Sample of stolen data,,Oil and Gas,,,,,,,,,,,,,,
23-01-2023,CLOUDCALL,IT/Technology,cloudcall.com.au,,Vice Society,N/A,N/A,,Sample of stolen data,,IT,,,,,,,,,,,,,,
23-01-2023,EMONEY HOME LOANS,Financial Services,emoneyhomeloans.com.au,,Vice Society,N/A,N/A,,Sample of stolen data,,Service,,,,,,,,,,,,,,
23-01-2023,CADEMET,Business,cadmet.com,,Royal,N/A,N/A,,/,,Service,,,,,,,,,,,,,,
23-01-2023,PILLAR RESOURCE SERVICES,Construction,pillar.ca,,Royal,N/A,N/A,,/,,Service,,,,,,,,,,,,,,
24-01-2023,STIBBS & CO,Law,stibbsco.com,,BlackCat,N/A,679 GB,,Miscellaneous,,Law,,,,,,,,,,,,,,
24-01-2023,INSTITUTO FEDERAL PAR ?,Education,ifpa.edu.br,,BlackCat,N/A,N/A,,Data of employees and students,,Service,,,,,,,,,,,,,,
24-01-2023,AUTOTRADER,Advertising Services,autotrader.com,,N/A,N/A,1.4M customer records,,PII and unique email addresses,,Service,,,,,,,,,,,,,,
24-01-2023,KOMPLETTFRITID,Retail,komplettfritid.no,,N/A,N/A,140k customer records,,PII exposed,,Service,,,,,,,,,,,,,,
25-01-2023,FLATIRONS SOLUTIONS,IT/Technology,flatironssolutions.com,,LockBit3.0,$ 1000000 USD,3.1 GB,,General data,,IT,,,,,,,,,,,,,,
25-01-2023,ELSAN,Hospitals and Health Care,elsan.care,,LockBit3.0,N/A,821 GB,,"PII, financial and genaral informations",,Medical,,,,,,,,,,,,,,
25-01-2023,XLNT SOFTWARE SOLUTIONS,Software Development,xlntinc.com,,LockBit3.0,N/A,N/A,,/,,IT,,,,,,,,,,,,,,
26-01-2023,CRESCENT CROWN DISTRIBUTING,Food and Beverage Services,crescentcrown.com,,BlackCat,N/A,1.05 TB,,Screenshots of PII Available,,Service,,,,,,,,,,,,,,
26-01-2023,SOMACIS,"Appliances, Electrical, and Electronics Manufacturing",somacis.com,,BlackCat,N/A,262 GB,,Screenshots of PII Available,,Manufacture,,,,,,,,,,,,,,
26-01-2023,COPPER MOUNTAIN,Mining,cumtn.com,,BlackCat,N/A,450 GB,,Screenshots of PII Available,,Service,,,,,,,,,,,,,,
26-01-2023,ADMIRAL SPORTWETTEN,Gambling,admiral.at,,Play,N/A,N/A,,/,,Service,,,,,,,,,,,,,,
27-01-2023,SOLAR INDUSTRIES INDIA,Mining,solargroup.com,India,BlackCat,N/A,2 TB,Sensitive data related to weapons production and PII,Sample with screenshots of PII Available,N/A,Service,,,,,,,,,,,,,,
27-01-2023,CHARLES P VONDERHAAR CPA,Accounting,cpvcpa.com,USA,BlackCat,N/A,50 GB,PII and financial informations,Screenshots of PII Available,N/A, Service,,,,,,,,,,,,,,
27-01-2023,IOC,Construction,ioccompany.com,USA,Royal,N/A,N/A,N/A,/,N/A,Service,,,,,,,,,,,,,,
27-01-2023,SERVICEMASTER,Consumer Services,servicemasterclr.com,USA,Royal,N/A,N/A,N/A,/,N/A,Service,,,,,,,,,,,,,,
27-01-2023,TRAVIS COUNTY SHERIFFS OFFICERS ASSOCIATION,Social Organization,traviscountytx.Public Sector,USA,Royal,N/A,N/A,N/A,/,N/A,Service,,,,,,,,,,,,,,
27-01-2023,BRISTOL COMMUNITY COLLEGE,College,bristolcc.edu,USA,Vice Society,N/A,N/A,Miscellaneous,/,N/A,Education,,,,,,,,,,,,,,
28-01-2023,WHITEPAGES,IT/Technology,whitepages.com,USA,Halcyonic,N/A,11.657.763 records,Users? information,"Email addresses, Names, Passwords",Files already uploaded,IT,,,,,,,,,,,,,,
28-01-2023,OMGPOP,Computer Games,/,USA,nvl,N/A,7.071.893 records,Users? information,"Email addresses, Names, Passwords",Files already uploaded,Service,,,,,,,,,,,,,,
28-01-2023,WESTMONT HOSPITALITY GROUP,Hospitality,whg.com,Canada,BlackCat,N/A,250 GB,Corporate data,"Financial and corporate documents, customer data. Certificates, employee",Files Available to Download,Service,,,,,,,,,,,,,,
28-01-2023,TRANSPORTATION SECURITY ADMINISTRATION,Public Sector Administration,tsa.Public Sector,USA,Maia Arson Crimew,N/A,"1,817,233 records",PII data,Full names and Dates of Birth,N/A,Public Sector,,,,,,,,,,,,,,
28-01-2023,ZEEROQ,Unsure,demo.zeeroq.com,France,All3in,N/A,233.908.449 records,Users? records,"Email Addresses, Passwords",Files already uploaded,NA,,,,,,,,,,,,,,
28-01-2023,ARIZONA LIVER HEALTH,Medical,azliver.com,USA,LockBit3.0,$ 150.000 USD,N/A,Miscellaneous,Sample with screenshots of PII Available,12-Feb-23,Medical,,,,,,,,,,,,,,
28-01-2023,PORTNOFF LAW ASSOCIATES,Law Services,portnoffonline.com,USA,BlackCat,N/A,240 GB,"Contracts, financial reports, accounting, clients info and etc",Sample with screenshots of PII Available,N/A,Law,,,,,,,,,,,,,,
28-01-2023,STAYFUL,IT/Technology,N/A,USA,visionary,N/A,183.000 records,Users? information,"Usernames, Full names, Phone numbers, Email addresses, Locations, Passwords",Files already uploaded,IT,,,,,,,,,,,,,,
28-01-2023,C.M. VIMIOSO,Municipality,cm-vimioso.pt,Portugal,LockBit3.0,N/A,N/A,N/A,/,14-Feb-23,public sector,,,,,,,,,,,,,,
28-01-2023,AIR ALBANIA,Airlines and Aviation,airalbania.com.al,Albania,LockBit3.0,N/A,N/A,N/A,/,14-Feb-23,Aviation,,,,,,,,,,,,,,
28-01-2023,YUEN LIANG INDUSTRIAL & CO,Petroleum resin production,ylresin.com,Taiwan,LockBit3.0,$ 30.000 USD,N/A,N/A,/,04-Feb-23,Oil and Gas,,,,,,,,,,,,,,
28-01-2023,ULTRABULK,Maritime,ultrabulk.com,Denmark,BlackCat,N/A,N/A,Miscellaneous,Sample with screenshots of PII Available,N/A,Service,,,,,,,,,,,,,,
28-01-2023,ITSSERVICIOS,Business Service,itsservicios.com.mx,Mexico,LockBit3.0,N/A,N/A,N/A,/,14-Feb-23,Service,,,,,,,,,,,,,,
28-01-2023,CPL INDUSTRIES,Oil and Coal Product Manufacturing,cplindustries.co.uk,United Kingdom,LockBit3.0,N/A,N/A,N/A,/,13-Feb-23,Oil and Gas,,,,,,,,,,,,,,
