Date,Company,Category,Victim website,Victim country,Group,Ransom demand,Exfiltrated data amount,Exfiltrated data type:,Leaked data:,Ransom deadline:
21-02-2023,LAWADAMI,Law,lawadami.com,United Kingdom,BianLian,N/A,500 GB,"Projects, clients? data, various business files, notes and manuals,",100% of the exfiltrated data,N/A
21-02-2023,GIGATRON,Electrical,gigatron.rs,Serbia,Qilin,N/A,171 GB,"DB backups of shops, CTRetail_backup, employee disability sheets, github",/,N/A
21-02-2023,DALLAS SCHOOL DISTRICT,School,dallasisd.org,USA,Royal,N/A,50 GB,Miscellaneous documents,100% of the exfiltrated data,N/A
21-02-2023,HOPSTEINER,Food and Beverage,hopsteiner.com,USA,Lorenz,N/A,"30,8",N/A,Sample with files tree and several downloadable folders,N/A
21-02-2023,ANCORA ? SISTEMAS DE FIXACAO,Construction,ancora.com.br,Brazil,Royal,N/A,N/A,N/A,/,N/A
21-02-2023,UNIS,Transportation,unisco.com,USA,Royal,N/A,N/A,N/A,/,N/A
21-02-2023,CAR LOCK SYSTEMS,Automotive Manufacturing,carlocksystems.com,Netherlands,LockBit3.0,N/A,N/A,N/A,/,06th Mar 23
22-02-2023,TR?VES,Motor Vehicle Manufacturing,treves-group.com,France,LockBit3.0,"$ 6,000,000",250 GB,Miscellaneous documents,Sample with VMware ESXi credentials,10th Mar 23
22-02-2023,LA SEGUNDA SEGUROS CLSG,Insurance,lasegunda.com.ar,Argentina,LockBit3.0,N/A,"More than 100,000 files",The company?s date was stolen. Insurance information. Personal data of,Sample with a downloadable folder,N/A
22-02-2023,ENCINOENERGY,Oil and Gas,encinoenergy.com,USA,BlackCat,N/A,400 GB,Miscellaneous documents,/,N/A
22-02-2023,LA FILIPINA,Manufacturing,lafilgroup.com,Philippines,BlackCat,N/A,421 GB,Confidential data,/,N/A
22-02-2023,MARKAS,Facilities Services,markas.com,Austria,BlackCat,N/A,104 GB,Confidential data,/,N/A
22-02-2023,SUMMIT BRANDS,Manufacturing,summitbrands.com,USA,BlackCat,N/A,378 GB,Confidential data,/,N/A
22-02-2023,FUTURE BUILDINGS,Construction,futurebuildings.com,Canada,BlackCat,N/A,More than 150 GB,"Financial documents and reports, marketing data, personal information about",Sample with screenshots of miscellaneous documents and several downloadable,25th Mar 23
22-02-2023,CITY OF LAKEWOOD,Public Sector,lakewood.org,USA,BlackCat,N/A,252 GB,Miscellaneous documents,/,N/A
22-02-2023,HIGHWEALTH,Construction,highwealth.com.tw,Taiwan,Vendetta,N/A,Large amount of files (at least 8 GB),"All data bases, accounting documentation",File tree sample with several downloadable folders,26th Feb 23
22-02-2023,KOMMER BAVE & CICCONE,Law,kboattorneys.com,USA,LockBit3.0,N/A,N/A,Miscellaneous documents,Sample with screenshots of contracts,02nd Mar 23
22-02-2023,LYON & HEALY,Music Industry,lyonhealy.com,USA,LockBit3.0,N/A,N/A,N/A,/,08th Mar 23
22-02-2023,BEACON TECHNOLOGIES,IT Services and IT Consulting,beacontech.net,USA,LockBit3.0,N/A,N/A,N/A,/,06th Mar 23
22-02-2023,VIRGINIA UNION UNIVERSITY,College,vuu.edu,USA,LockBit3.0,N/A,N/A,N/A,/,10th Mar 23
23-02-2023,RAYAB CONSULTING ENGINEERS,Construction,rayabco.com,Iran,Medusa,"$ 800,000",N/A,"Miscellaneous, financial documents",Sample with screenshots of miscellaneous financial documents,05th Mar 23
23-02-2023,AESCULAPIUS FARMACEUTICI,Pharma,aesculapius.it,Italy,RansomHouse,N/A,60 GB,"Miscellaneous, clients, contractors, and confidential documents",Evidence packs with several downloadable folders,N/A
23-02-2023," MOOSE, MARTIN, HAYNES & LUNDY",Finance,mmhlcpa.com,USA,Medusa,"$ 100,000",Large amount of files (at least 100 GB),"Miscellaneous, financial, contracts and confidential documents",Sample with screenshots of miscellaneous documents and the file tree,04th Mar 23
23-02-2023,BOND IT,International Trade and Development,bond-it.co.uk,United Kingdom,RansomHouse,N/A,700 GB,"Miscellaneous, contractors? documents",Evidence packs with several downloadable folders,N/A
23-02-2023,SIQUEIRACASTRO,Law,siqueiracastro.com.br,Brazil,LockBit3.0,N/A,470 GB,"Finance, accounts, reports, contracts",Sample with screenshots of miscellaneous documents,15th Mar 23
23-02-2023,EDEESTE,"Appliances, Electrical, and Electronics Manufacturing",edeeste.com.do,Dominican Republic,BlackCat,N/A,420 GB,"Miscellaneous, projects, financial and contracts docments",File tree with several downloadable folders,N/A
23-02-2023,KENDALL HUNT PUBLISHING,Book and Periodical Publishing,kendallhunt.com,USA,BlackCat,N/A,"84,9 GB",Miscellaneous documents,100% of the exfiltrated data,Expired
23-02-2023,BULOG,"Transportation, Logistics, Supply Chain and Storage",bulog.co.id,Indonesia,RansomEXX,N/A,"12,78 GB",Miscellaneous documents,100% of the exfiltrated data,N/A
23-02-2023,SKYLINE TRISOURCE EXHIBITS,Advertising Services,skylinetrisource.com,USA,LockBit3.0,N/A,N/A,Miscellaneous documents,Sample with screenshots of miscellaneous documents,09th Mar 23
23-02-2023,FOSTER FARMS,Food and Beverage Manufacturing,fosterfarms.com,USA,LockBit3.0,N/A,N/A,Miscellaneous documents,Sample with screenshots of miscellaneous documents,07th Mar 23
23-02-2023,NOUGAT-CARLIER,Food,nougat-carlier.be,Belgium,LockBit3.0,N/A,"34,7 GB",Miscellaneous documents,Sample with screenshots of miscellaneous documents,15th Mar 23
23-02-2023,AASP,Law,aasp.org.br,Brazil,Ragnar Locker,N/A,/,Miscellaneous sensitive documents of customers and partners,Sample with screenshots of miscellaneous documents,25th Feb 23
23-02-2023,PRESTIGE MAINTENANCE,Retail and Transportation,prestigeusa.net,USA,BlackCat,N/A,N/A,Contracts with various levels of customers (with all related documents) ? NDA,Sample with downloadable folders,26th Feb 23
23-02-2023,FICCI,Finance,ficci.in,India,Mallox,N/A,"1,28 GB",Miscellaneous documents,100% of the exfiltrated data,N/A
23-02-2023,STONE AND ELECTRICAL CONTRACTORS,Electrical,stoneandsons.com,USA,Royal,N/A,N/A,N/A,/,N/A
24-02-2023,THE KEEN GROUP,IT/Technology,thekeengroup.co.uk,United Kingdom,BlackCat,N/A,44 GB,"Financial records, customer data and other critical files.",Sample with screenshots of several folders,N/A
24-02-2023,GLOVERS SOLICITORS LLP,College,glovers.co.uk,United Kingdom,BlackCat,N/A,446 GB,"Internal Company Data (Employees personal data, CV?s, DL?s, ID?s, SSN?s,",Sample with screenshots of PII documents and credit cards,N/A
24-02-2023,SMARTER CAPITAL,Construction,smartercapital.net,Australia,BlackCat,N/A,N/A,Data of employees and customers. Financial documents. Projects and other,Sample with screenshots of miscellaneous documents and the file tree,N/A
24-02-2023,CALIFORNIA NORTHSTATE UNIVERSITY,Pharma,cnsu.edu,USA,AvosLocker,N/A,N/A,"Student admissions data include Name, Social Security Number, Date of Birth,",Sample with screenshots of student documents,N/A
25-02-2023,INDIKA ENERGY GLOBAL,Finance,indikaenergy.co.id,Indonesia,BlackCat,N/A,"69,76 GB","Corporate data (financial statements, employee data, partner network accesses",/,N/A
25-02-2023,INPRO,International Trade and Development,inpro-electric.de,Germany,Play,N/A,360 GB,"Private and personal confidential data, a lot of technical documentation, IDs,",8 GB including 50 passports,N/A
25-02-2023,IL &FS,Law,ilfsindia.com,India,LockBit3.0,"$ 299,000",N/A,"Contracts, personal data, passports, postal correspondence, financial",/,09th Mar 23
25-02-2023,COTTEE PARKER,"Appliances, Electrical, and Electronics Manufacturing",cotteeparker.com.au,Australia,LockBit3.0,"$ 499,000",N/A,"Postal correspondence, contracts. Confidential and non-disclosure agreements.",Sample with screenshots of miscellaneous documents,09th Mar 23
25-02-2023,iSPACE,Book and Periodical Publishing,ispace.com,USA,LockBit3.0,N/A,100 GB,"Miscellaneous, confidential and PII documents","Sample with screenshots of miscellaneous, confidential and PII documents",08th Mar 23
25-02-2023,G &G ELECTRONICS,"Transportation, Logistics, Supply Chain and Storage",ggelectronics.com,USA,BianLian,N/A,320 GB,"Marketing content, HR, business data, accounting data",100% of the exfiltrated data,N/A
25-02-2023,THINK WELTY,Advertising Services,thinkwelty.com,USA,BlackCat,N/A,"1,7 TB",Personal and corporate data,/,N/A
25-02-2023,HAK GRAZBACHGASSE,Food and Beverage Manufacturing,hak-graz.at,Austria,BianLian,N/A,331 GB,Miscellaneous documents,100% of the exfiltrated data,N/A
25-02-2023,ADVANCE2000,Food,advance2000.com,USA,BianLian,N/A,80 GB,"SQL databases, client?s data: adresses, phone numbers, emails, birth dates,",Sample with screenshots of miscellaneous documents,100% of the exfiltrated data
25-02-2023,ANXA,Law,anxa.com,France,BianLian,N/A,60 GB,"Client?s data: full names, addresses, emails, birth dates, etc., finance,",100% of the exfiltrated data,N/A
25-02-2023,THOMPSON SAFETY,Retail and Transportation,thompson-safety.com,USA,BianLian,N/A,130 GB,"HR, business, employee data, finance.",100% of the exfiltrated data,N/A
25-02-2023,DELAWARE LIFE,Finance,delawarelife.com,USA,LockBit3.0,N/A,N/A,N/A,/,N/A
25-02-2023,SCHWARTZ HAUTMONT PORT SHOP,Electrical,shcm.es,Spain,Royal,N/A,N/A,N/A,/,N/A
